title,cuisine,diet_tags,main_ingredients,optional_ingredients,time_minutes,servings,instructions
Garlic Butter Chicken Rice,American,gluten-free,chicken;garlic;rice;butter,parsley;lemon,30,4,"Season chicken and sear in butter until golden. Add minced garlic, cook until fragrant. Stir in cooked rice and a splash of broth. Simmer 5 minutes, finish with parsley and a squeeze of lemon before serving hot."
Chicken Fried Rice,Chinese,dairy-free,chicken;rice;egg;soy sauce;garlic,peas;carrot;green onion,25,3,"Scramble egg in a hot wok, set aside. Stir-fry diced chicken with garlic until cooked through. Add cold cooked rice, breaking up clumps, then soy sauce and vegetables. Fold in the egg and cook until everything is heated and slightly crisp."
Classic Margherita Pizza,Italian,vegetarian,pizza dough;tomato;mozzarella;basil,olive oil;garlic,25,2,"Stretch dough onto a floured surface. Spread crushed tomato leaving a border. Tear mozzarella over the top and scatter torn basil. Bake in a very hot oven until the crust is blistered and the cheese bubbles, about 10 minutes."
Creamy Tomato Basil Pasta,Italian,vegetarian,pasta;tomato;cream;basil;garlic,parmesan;chili flakes,25,4,"Cook pasta until al dente, reserving a cup of the water. Simmer tomato and garlic in a pan, stir in cream until it turns a soft orange. Toss the pasta through with basil, loosening with pasta water as needed."
Chana Masala,Indian,vegan,chickpeas;tomato;onion;garlic;ginger,cilantro;lemon,35,4,"Saute onion, garlic and ginger until golden. Add spices and toast briefly, then stir in tomato and cook down to a thick sauce. Add chickpeas and simmer 15 minutes. Finish with cilantro and a squeeze of lemon."
Butter Chicken,Indian,gluten-free,chicken;tomato;cream;butter;garlic;ginger,cilantro;naan,40,4,"Marinate chicken in yogurt and spices, then sear until charred at the edges. Simmer tomato, butter, garlic and ginger into a smooth sauce. Add the chicken and cream, simmer until thickened, and finish with cilantro."
Beef Tacos,Mexican,dairy-free,beef;onion;tortilla;garlic,cilantro;lime;salsa,25,4,"Brown ground beef with onion and garlic, season with cumin and chili powder. Warm tortillas, fill with the beef, and top with cilantro and a squeeze of lime."
Black Bean and Rice Bowl,Mexican,vegan,black beans;rice;onion;garlic,avocado;lime;cilantro,25,3,"Saute onion and garlic, stir in black beans and simmer with a little broth until thick. Serve over rice topped with avocado, cilantro and lime."
Thai Green Curry Chicken,Thai,gluten-free,chicken;coconut milk;green curry paste;basil,bell pepper;fish sauce,30,4,"Fry curry paste in a splash of coconut milk until fragrant. Add chicken and cook through, then pour in the rest of the coconut milk. Simmer with vegetables until tender and finish with torn basil leaves."
Pad Thai,Thai,dairy-free,rice noodles;egg;shrimp;peanuts;tamarind,bean sprouts;lime,25,3,"Soak rice noodles until pliable. Scramble egg in a hot wok, push aside, then stir-fry shrimp. Add noodles and tamarind sauce, tossing until coated. Finish with peanuts, bean sprouts and a wedge of lime."
Greek Salad with Chickpeas,Mediterranean,vegan,chickpeas;cucumber;tomato;olive;feta,red onion;oregano,15,2,"Chop cucumber and tomato, combine with chickpeas, olives and red onion. Toss with olive oil and oregano. Crumble feta over the top just before serving."
Falafel Wrap,Mediterranean,vegan,chickpeas;garlic;parsley;flatbread,tahini;cucumber;tomato,30,3,"Blend chickpeas, garlic and parsley into a coarse paste, form into patties and fry until crisp. Warm the flatbread and fill with falafel, tahini sauce and chopped vegetables."
Miso Glazed Salmon,Japanese,dairy-free,salmon;miso;soy sauce;ginger,green onion;rice,20,2,"Whisk miso, soy sauce and ginger into a glaze. Brush over the salmon and broil until caramelized at the edges and just cooked through. Serve over rice with sliced green onion."
Vegetable Fried Rice,Chinese,vegan,rice;egg;carrot;peas;soy sauce;garlic,green onion;sesame oil,20,3,"Scramble egg and set aside. Stir-fry garlic, carrot and peas until just tender. Add cold rice and soy sauce, tossing until heated through, then fold the egg back in."
French Onion Soup,French,vegetarian,onion;butter;beef broth;bread;gruyere,thyme,50,4,"Slowly caramelize sliced onions in butter over low heat until deep golden, about 30 minutes. Add broth and simmer with thyme. Ladle into bowls, top with bread and gruyere, and broil until bubbling."
Korean Beef Bulgogi,Korean,dairy-free,beef;soy sauce;garlic;ginger;pear,green onion;rice;sesame,25,3,"Marinate thinly sliced beef in soy sauce, garlic, ginger and grated pear. Sear in a hot pan until caramelized at the edges. Serve over rice, scattered with green onion and sesame seeds."
Lentil Soup,Mediterranean,vegan,lentils;carrot;onion;garlic;tomato,cumin;lemon,40,4,"Saute onion, carrot and garlic until soft. Add lentils, tomato and broth, simmer until the lentils fall apart, about 30 minutes. Finish with cumin and a squeeze of lemon."
Shrimp Garlic Pasta,Italian,dairy-free,shrimp;pasta;garlic;olive oil;chili flakes,parsley;lemon,20,3,"Cook pasta until al dente. Saute garlic and chili flakes in olive oil, add shrimp and cook until pink. Toss with the pasta, parsley and a squeeze of lemon."
Caprese Stuffed Chicken,Italian,gluten-free,chicken;tomato;mozzarella;basil,balsamic,30,4,"Butterfly the chicken breasts and stuff with tomato, mozzarella and basil. Sear until golden, then finish in the oven until cooked through. Drizzle with balsamic reduction before serving."
Vegetable Stir Fry,Chinese,vegan,broccoli;bell pepper;carrot;garlic;soy sauce,tofu;sesame oil,20,3,"Stir-fry garlic in a hot wok, then add the vegetables in order of how long they take to cook, starting with carrot. Toss with soy sauce until just tender-crisp and finish with a drizzle of sesame oil."
